S.no.,Name of the show,Year of release,No of seasons available,Language,Genre,IMDb rating,Age of viewers
101,Feed the Beast,2016,1,English,Drama,6.7,16+
102,One Mississippi,2016,2,English,Drama,7.3,18+
103,Roadies,2016,1,English,"Drama, Comedy",7.3,18+
104,The Path,2016,3,English,Drama,7.3,18+
105,Girlfriends Guide to Divorce,2015,5,English,Comedy,6.9,All
106,Lorena,2019,1,English,Documentary,7.2,16+
107,Queen Sugar,2016,4,English,Drama,7.7,All
108,An Unknown Enemy,2018,1,Spanish,Drama,8.1,18+
109,The Last Ship,2014,5,English,"Drama, Suspense, Action",7.5,16+
110,Constantine,2015,1,English,"Sci-fi, Action, Suspense ",7.5,16+
111,Lost in Oz,2017,2,English,Kids,7.7,7+
112,Amazon Riders,2018,2,Japanese,Action,7.9,13+
113,Skulls and Roses,2019,1,Hindi,Action,4.3,18+
114,Mr. Bean,1995,1,English,Comedy,8.5,16+
115,Mr. Bean: The Animated Series,2016,3,English,Comedy,6.8,13+
116,2 Broke Girls,2012,6,English,Comedy,6.7,16+
117,The Stinky & Dirty Show,2016,2,English,"Kids, Animation",7.1,All
118,Two and a Half Men,2003,12,English,Comedy,7,16+
119,Russell Peters: Deported,2020,1,English,Comedy,6.1,16+
120,Mom,2014,7,English,Comedy,7.2,16+
121,Oggy and the Cockroaches,1998,7,Hindi,Kids,7.3,7+
122,The Kicks,2016,1,English,"Sports, Drama",6.9,All
123,The PowerPuff Girls,1999,5,English,"Kids, Animation",7.2,All
124,The Middle,2010,9,English,Comedy,7.5,7+
125,Seinfeld,1990,9,English,Comedy,8.8,13+
126,Chaplin & Co,2012,1,English,Comedy,5.8,7+
127,Jimmy O. Yang: Good Deal,2020,1,English,"Arts, Entertainment, Culture",7.1,18+
128,The Mindy Project,2013,6,English,Comedy,7.4,16+
129,Johnny Bravo,1998,4,English,Kids,7.2,7+
130,Californication,2007,7,English,Comedy,8.3,18+
131,Sigmund and the Sea Monsters,2017,1,English,Kids,6.9,All
132,Munki and Trunk,2016,1,English,Kids,8.4,All
133,Anger Management,2012,5,English,Comedy,6.6,13+
134,Jean Claude Van Johnson,2017,1,English,Comedy,7.6,18+
135,Best of AIB,2014,1,Hindi,Comedy,8.2,16+
136,Forever,2018,1,English,Comedy,7.2,16+
137,Dennis the Menace,1985,2,English,Kids,6.3,All
138,I love Dick,2017,1,English,Comedy,6.2,18+
