Transaction Date,Created Date,Order ID,Currency Code,Amount,Service Tax Collected,Swachh Bharat Cess,Order Total,Payment Status,Order Status,Course Title,SC ID
2016-05-05 06:39:04,2016-05-05 04:10:15,33014,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
2016-05-05 03:36:00,2016-05-05 03:11:46,32975,INR,2000,280,10,2290,success,completed,Management Accounting,SC0141
2016-05-05 03:15:02,2016-05-05 03:10:26,32974,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
2016-05-07 10:43:01,2016-05-05 02:59:38,32971,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0101
2016-05-05 05:07:04,2016-05-05 01:13:38,32959,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SCTOWERS
2016-05-05 12:40:55,2016-05-05 12:37:34,32952,INR,15313,2144,77,17533,success,completed,Finance for Non-finance,SCG7CR
2016-05-05 12:15:03,2016-05-05 12:09:33,32940,INR,10000,1400,50,11450,success,completed,Financial Modelling Using Excel,SCG7CR
2016-05-05 11:57:01,2016-05-05 11:45:29,32937,INR,9722,,,9722,success,completed,Supply Chain Management,SCG7CR
2016-05-05 11:29:03,2016-05-05 11:22:12,32929,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-05 11:29:00,2016-05-05 11:19:54,32926,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-05 12:15:00,2016-05-05 10:15:23,32878,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-05 10:25:05,2016-05-05 10:14:06,32876,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-04 11:25:51,2016-05-04 11:13:49,32858,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-04 08:54:29,2016-05-04 08:42:43,32843,INR,6000,840,30,6870,failure,canceled,Digital Marketing Certification,SCG7CR
2016-05-04 05:51:01,2016-05-04 05:44:04,32827,INR,10877,1523,54,12454,success,completed,Project Management ,SCG7CR
2016-05-04 05:10:05,2016-05-04 05:04:38,32804,INR,6754,946,34,7734,success,completed,Cloud Computing with MS Azure,SCG7CR
2016-05-04 05:10:01,2016-05-04 05:03:24,32802,INR,9614,1346,48,11008,success,completed,Digital Marketing Certification,SCG7CR
2016-05-04 04:33:00,2016-05-04 04:00:43,32791,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-05 12:15:00,2016-05-04 03:57:47,32788,INR,14000,1960,70,16030,canceled,canceled,Advanced Digital Marketing,SCTOWERS
2016-05-04 04:06:01,2016-05-04 03:47:27,32783,INR,9518,1332,48,10898,success,completed,Project Management ,SCG7CR
2016-05-04 03:40:05,2016-05-04 03:20:08,32769,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-09 09:24:04,2016-05-04 03:08:27,32762,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
2016-05-04 03:16:03,2016-05-04 02:56:38,32755,INR,10000,1400,50,11450,success,completed,Financial Modelling Using Excel,SCG7CR
2016-05-18 12:00:00,2016-05-04 02:47:20,32753,INR,4000,560,20,4580,success,completed,Certificate in Advanced MS Excel 2010,
2016-05-05 09:39:02,2016-05-04 11:42:37,32725,INR,7719,1081,39,8838,success,completed,Cloud Computing with MS Azure,SC0107
2016-05-05 07:52:02,2016-05-04 11:34:32,32721,INR,5000,700,25,5725,success,completed,Supply Chain Management,SCTOWERS
2016-05-11 10:39:00,2016-05-04 09:49:34,32695,INR,9518,1332,48,10898,success,completed,Project Management ,SCTOWERS
2016-05-03 08:40:01,2016-05-03 08:30:54,32668,INR,2631,368,13,3013,success,completed,Basics of Cloud Computing,
2016-05-03 08:35:02,2016-05-03 08:16:45,32667,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-05 03:50:01,2016-05-03 08:09:11,32664,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-03 08:08:05,2016-05-03 08:05:00,32663,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-03 07:45:01,2016-05-03 07:35:36,32661,INR,12017,1682,60,13760,success,completed,Digital Marketing Certification,SCG7CR
2016-05-05 07:54:03,2016-05-03 07:17:30,32659,INR,4362,611,22,4994,success,completed,Online Android App Development,
2016-05-03 07:16:01,2016-05-03 06:43:23,32653,INR,60,8,0,69,success,completed,Digital Marketing Certification,
2016-05-03 06:43:01,2016-05-03 06:35:52,32650,INR,4362,611,22,4994,success,completed,Online Android App Development,SCG7CR
2016-05-03 07:53:03,2016-05-03 06:26:50,32647,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0100
2016-05-03 05:52:02,2016-05-03 05:40:58,32640,INR,16000,2240,80,18320,success,completed,Advanced Digital Marketing,SCG7CR
2016-05-04 07:44:00,2016-05-03 05:10:16,32633,INR,22500,3150,113,25763,success,completed,Digital Marketing Professional Program in association with Google,SC0158
2016-05-03 05:04:05,2016-05-03 05:01:15,32629,INR,4000,560,20,4580,canceled,canceled,Certificate in Advanced MS Excel 2010,SCG7CR
2016-05-03 09:30:00,2016-05-03 04:05:52,32623,INR,14000,1960,70,16030,success,completed,Advanced Digital Marketing,SC0171
2016-05-03 04:18:03,2016-05-03 04:05:22,32622,INR,6000,840,30,6870,success,completed,Digital Marketing Certification,SCG7CR
2016-05-04 02:07:02,2016-05-03 03:57:37,32621,INR,11987,,,11987,success,completed,Project Management ,SCG7CR
